比那名居天子,1117377,697808,745328,2560513.0
和妹妹生老婆,916666(花击破)+34459(龟),554657,762496,2268278.0
qwq宝宝,722129,724731(蝎击破)+-317886(撞刀惩罚)+390814(花),856647,2376435.0
秋山奏,902996,500083(龙击破)+64301(云),723596,2190976.0
Hessian,693455,884913,420578,1998946.0
月海真白,930986,1066241,798650,2795877.0
岚宇,1153039,832759,486867,2472665.0
恶魔的低语,1472422,1025851,533588,3031861.0
完全,718980,1168720,932393,2820093.0
蕾米莉亚,1431679,481404,914559,2827642.0
神北小逑,640164,23147(龟击破)+472078(蝎),592472,1727861.0
我是佐树,577397,591857,345540,1514794.0
天命,734415,1207504,500959,2442878.0
栗山未来,983199,589209,155730,1728138.0
蓝鸟,805058,800371,584648,2190077.0
月森紫,1154104,35464(云击破)+561421(花),644753,2395742.0
克依,914459,748129,635579,2298167.0
ZZZLL,768051,647216,706025,2121292.0
加菲猫,422619,198125,734120,1354864.0
白丽,741835,460781,764636,1967252.0
Dio大人,1011296,555885,395015,1962196.0
Aranea,676544,1030851,831961,2539356.0
黑白电影,742224,990488,861558,2594270.0
天才少女凛凛,675290,781492,585974,2042756.0
无,623220,663702,287990,1574912.0
洛神,1062008,551362,695515,2308885.0
未踏,658442,708403,1039496,2406341.0
氪佬给咱留条活路吧,684802,1158133,531868,2374803.0
突然偏头疼,620430,648547,189300,1458277.0
Mcocler,587922,798290,920770,2306982.0
